Fire Size Class,Jurisdiction,Number of Occurrences,Protection zone,Response Category,Year
7,Ontario,1,Limited,None,2015
7,Ontario,1,Limited,Full,2016
7,Ontario,3,Limited,None,2017
4,Ontario,2,Intensive,Full,2008
4,Ontario,5,Limited,None,2008
4,Ontario,2,Limited,Full,2009
4,Ontario,8,Intensive,Full,2009
4,Ontario,9,Limited,None,2009
4,Ontario,1,Limited,Full,2010
4,Ontario,11,Limited,None,2010
4,Ontario,21,Intensive,Full,2010
4,Ontario,2,Limited,Modified,2011
4,Ontario,3,Intensive,None,2011
4,Ontario,7,Limited,Full,2011
4,Ontario,12,Intensive,Full,2011
4,Ontario,20,Limited,None,2011
4,Ontario,1,Intensive,Modified,2012
4,Ontario,1,Intensive,None,2012
4,Ontario,2,Limited,Modified,2012
4,Ontario,4,Limited,Full,2012
4,Ontario,19,Limited,None,2012
4,Ontario,28,Intensive,Full,2012
4,Ontario,7,Intensive,Full,2013
4,Ontario,7,Limited,Full,2013
4,Ontario,18,Limited,None,2013
4,Ontario,6,Intensive,Full,2014
4,Ontario,7,Limited,None,2014
4,Ontario,1,Intensive,None,2015
4,Ontario,1,Limited,Full,2015
4,Ontario,1,Limited,Modified,2015
4,Ontario,10,Intensive,Full,2015
4,Ontario,22,Limited,None,2015
4,Ontario,1,Intensive,None,2016
4,Ontario,4,Limited,Full,2016
4,Ontario,8,Limited,None,2016
4,Ontario,11,Intensive,Full,2016
4,Ontario,4,Intensive,None,2017
4,Ontario,6,Intensive,Full,2017
4,Ontario,8,Limited,Full,2017
4,Ontario,56,Limited,None,2017
5,Ontario,3,Limited,None,2008
5,Ontario,1,Limited,Full,2009
5,Ontario,16,Limited,None,2009
5,Ontario,1,Limited,Full,2010
5,Ontario,1,Limited,Modified,2010
5,Ontario,5,Limited,None,2010
5,Ontario,6,Intensive,Full,2010
5,Ontario,1,Intensive,None,2011
5,Ontario,1,Limited,Modified,2011
5,Ontario,3,Intensive,Full,2011
5,Ontario,5,Limited,Full,2011
5,Ontario,27,Limited,None,2011
5,Ontario,1,Intensive,Modified,2012
5,Ontario,1,Limited,Modified,2012
5,Ontario,2,Intensive,None,2012
5,Ontario,3,Limited,Full,2012
5,Ontario,7,Intensive,Full,2012
5,Ontario,24,Limited,None,2012
5,Ontario,2,Limited,Modified,2013
5,Ontario,21,Limited,None,2013
5,Ontario,3,Limited,None,2014
5,Ontario,1,Intensive,None,2015
5,Ontario,1,Limited,Modified,2015
5,Ontario,6,Intensive,Full,2015
5,Ontario,17,Limited,None,2015
5,Ontario,1,Limited,Modified,2016
5,Ontario,2,Limited,None,2016
5,Ontario,4,Intensive,Full,2016
5,Ontario,1,Intensive,Full,2017
5,Ontario,1,Limited,Full,2017
5,Ontario,4,Intensive,None,2017
5,Ontario,33,Limited,None,2017
8,Ontario,2,Limited,None,2011
0,Ontario,11,Unspecified,Modified,2018
0,Ontario,156,Unspecified,Modified,2018
0,Ontario,373,Unspecified,Full,2018
0,Ontario,787,Unspecified,Full,2018
1,Ontario,1,Intensive,Modified,2008
1,Ontario,2,Limited,None,2008
1,Ontario,3,Intensive,None,2008
1,Ontario,32,Limited,Full,2008
1,Ontario,164,Intensive,Full,2008
1,Ontario,1,Limited,Modified,2009
1,Ontario,2,Limited,None,2009
1,Ontario,3,Intensive,Modified,2009
1,Ontario,4,Intensive,None,2009
1,Ontario,17,Limited,Full,2009
1,Ontario,156,Intensive,Full,2009
1,Ontario,5,Limited,None,2010
1,Ontario,7,Intensive,Modified,2010
1,Ontario,7,Intensive,None,2010
1,Ontario,57,Limited,Full,2010
1,Ontario,312,Intensive,Full,2010
1,Ontario,1,Intensive,Modified,2011
1,Ontario,2,Limited,Modified,2011
1,Ontario,5,Intensive,None,2011
1,Ontario,17,Limited,None,2011
1,Ontario,84,Limited,Full,2011
1,Ontario,505,Intensive,Full,2011
1,Ontario,4,Intensive,Modified,2012
1,Ontario,6,Intensive,None,2012
1,Ontario,10,Limited,None,2012
1,Ontario,60,Limited,Full,2012
1,Ontario,634,Intensive,Full,2012
1,Ontario,3,Intensive,None,2013
1,Ontario,5,Intensive,Modified,2013
1,Ontario,7,Limited,None,2013
1,Ontario,29,Limited,Full,2013
1,Ontario,199,Intensive,Full,2013
1,Ontario,2,Intensive,Modified,2014
1,Ontario,2,Intensive,None,2014
1,Ontario,2,Limited,None,2014
1,Ontario,8,Limited,Full,2014
1,Ontario,130,Intensive,Full,2014
1,Ontario,1,Intensive,Modified,2015
1,Ontario,2,Limited,None,2015
1,Ontario,5,Intensive,None,2015
1,Ontario,22,Limited,Full,2015
1,Ontario,248,Intensive,Full,2015
1,Ontario,1,Intensive,Modified,2016
1,Ontario,1,Limited,Modified,2016
1,Ontario,2,Limited,None,2016
1,Ontario,8,Intensive,None,2016
1,Ontario,20,Limited,Full,2016
1,Ontario,284,Intensive,Full,2016
1,Ontario,1,Limited,Modified,2017
1,Ontario,4,Intensive,None,2017
1,Ontario,12,Limited,None,2017
1,Ontario,61,Limited,Full,2017
1,Ontario,261,Intensive,Full,2017
2,Prince Edward Island,1,Intensive,Full,2008
2,Prince Edward Island,7,Intensive,Full,2009
2,Prince Edward Island,1,Intensive,Full,2010
2,Prince Edward Island,1,Intensive,Full,2011
2,Prince Edward Island,3,Intensive,Full,2012
2,Prince Edward Island,4,Intensive,Full,2013
2,Prince Edward Island,2,Intensive,Full,2014
2,Prince Edward Island,2,Intensive,Full,2016
3,Prince Edward Island,1,Intensive,Full,2008
3,Prince Edward Island,1,Intensive,Full,2010
3,Prince Edward Island,3,Intensive,Full,2011
3,Prince Edward Island,2,Intensive,Full,2012
3,Prince Edward Island,3,Intensive,Full,2013
3,Prince Edward Island,1,Intensive,Full,2014
3,Prince Edward Island,1,Intensive,Full,2016
4,Prince Edward Island,1,Intensive,Full,2013
4,Prince Edward Island,2,Intensive,Full,2016
0,Prince Edward Island,5,Intensive,Full,2015
0,Prince Edward Island,10,Unspecified,Full,2018
1,Prince Edward Island,2,Intensive,Full,2008
1,Prince Edward Island,1,Intensive,Full,2009
1,Prince Edward Island,2,Intensive,Full,2010
1,Prince Edward Island,3,Intensive,Full,2012
1,Prince Edward Island,2,Intensive,Full,2013
1,Prince Edward Island,1,Intensive,Full,2014
1,Prince Edward Island,3,Intensive,Full,2016
2,Quebec,1,Intensive,None,2008
2,Quebec,3,Limited,Full,2008
2,Quebec,48,Intensive,Full,2008
2,Quebec,1,Limited,None,2009
2,Quebec,2,Limited,Full,2009
2,Quebec,109,Intensive,Full,2009
2,Quebec,1,Intensive,None,2010
2,Quebec,2,Limited,Full,2010
2,Quebec,190,Intensive,Full,2010
2,Quebec,73,Intensive,Full,2011
2,Quebec,165,Intensive,Full,2012
2,Quebec,1,Limited,Full,2013
2,Quebec,2,Intensive,None,2013
2,Quebec,2,Limited,None,2013
2,Quebec,92,Intensive,Full,2013
2,Quebec,2,Limited,Full,2014
2,Quebec,3,Limited,None,2014
2,Quebec,59,Intensive,Full,2014
2,Quebec,2,Limited,Full,2015
2,Quebec,2,Limited,None,2015
2,Quebec,90,Intensive,Full,2015
2,Quebec,1,Limited,None,2016
2,Quebec,4,Limited,Full,2016
2,Quebec,113,Intensive,Full,2016
2,Quebec,1,Intensive,None,2017
2,Quebec,1,Limited,None,2017
2,Quebec,4,Limited,Full,2017
2,Quebec,47,Intensive,Full,2017
6,Quebec,1,Intensive,None,2009
6,Quebec,1,Limited,Full,2009
6,Quebec,3,Intensive,Full,2009
6,Quebec,11,Limited,None,2009
6,Quebec,2,Limited,None,2010
6,Quebec,8,Intensive,Full,2010
6,Quebec,3,Limited,None,2011
6,Quebec,1,Limited,Full,2012
6,Quebec,3,Limited,None,2012
6,Quebec,4,Intensive,Full,2012
6,Quebec,1,Limited,Full,2013
6,Quebec,5,Intensive,Full,2013
6,Quebec,16,Limited,None,2013
6,Quebec,1,Limited,Full,2014
6,Quebec,4,Limited,None,2014
6,Quebec,1,Limited,Full,2015
6,Quebec,1,Limited,None,2015
6,Quebec,1,Limited,Full,2016
6,Quebec,9,Limited,None,2016
6,Quebec,1,Intensive,Full,2017
6,Quebec,1,Limited,Full,2017
6,Quebec,5,Limited,None,2017
3,Quebec,1,Limited,Full,2008
3,Quebec,10,Limited,None,2008
3,Quebec,15,Intensive,Full,2008
3,Quebec,4,Limited,Full,2009
3,Quebec,5,Limited,None,2009
3,Quebec,66,Intensive,Full,2009
3,Quebec,2,Limited,None,2010
3,Quebec,3,Limited,Full,2010
3,Quebec,105,Intensive,Full,2010
3,Quebec,2,Limited,None,2011
3,Quebec,4,Limited,Full,2011
3,Quebec,46,Intensive,Full,2011
3,Quebec,2,Limited,None,2012
3,Quebec,4,Limited,Full,2012
3,Quebec,99,Intensive,Full,2012
3,Quebec,2,Limited,None,2013
3,Quebec,4,Limited,Full,2013
3,Quebec,67,Intensive,Full,2013
3,Quebec,2,Limited,None,2014
3,Quebec,5,Limited,Full,2014
3,Quebec,28,Intensive,Full,2014
3,Quebec,60,Intensive,Full,2015
3,Quebec,8,Limited,Full,2016
3,Quebec,10,Limited,None,2016
3,Quebec,49,Intensive,Full,2016
3,Quebec,1,Intensive,None,2017
3,Quebec,1,Limited,None,2017
3,Quebec,5,Limited,Full,2017
3,Quebec,21,Intensive,Full,2017
7,Quebec,1,Limited,None,2009
7,Quebec,1,Limited,Full,2010
7,Quebec,4,Intensive,Full,2010
7,Quebec,4,Limited,None,2010
7,Quebec,1,Intensive,Full,2012
7,Quebec,1,Limited,None,2012
7,Quebec,2,Intensive,Full,2013
7,Quebec,2,Limited,Full,2013
7,Quebec,10,Limited,None,2013
7,Quebec,2,Limited,None,2014
7,Quebec,1,Limited,None,2017
4,Quebec,1,Limited,Full,2008
4,Quebec,2,Intensive,Full,2008
4,Quebec,10,Limited,None,2008
4,Quebec,4,Limited,None,2009
4,Quebec,28,Intensive,Full,2009
4,Quebec,1,Intensive,None,2010
4,Quebec,2,Limited,Full,2010
4,Quebec,5,Limited,None,2010
4,Quebec,20,Intensive,Full,2010
4,Quebec,3,Limited,None,2011
4,Quebec,6,Intensive,Full,2011
4,Quebec,2,Limited,Full,2012
4,Quebec,4,Limited,None,2012
4,Quebec,24,Intensive,Full,2012
4,Quebec,1,Intensive,None,2013
4,Quebec,1,Limited,Full,2013
4,Quebec,9,Limited,None,2013
4,Quebec,19,Intensive,Full,2013
4,Quebec,1,Limited,Full,2014
4,Quebec,5,Intensive,Full,2014
4,Quebec,10,Limited,None,2014
4,Quebec,1,Limited,Full,2015
4,Quebec,2,Limited,None,2015
4,Quebec,4,Intensive,Full,2015
4,Quebec,10,Limited,Full,2016
4,Quebec,13,Intensive,Full,2016
4,Quebec,15,Limited,None,2016
4,Quebec,1,Intensive,None,2017
4,Quebec,2,Limited,None,2017
4,Quebec,5,Intensive,Full,2017
5,Quebec,2,Limited,None,2008
5,Quebec,7,Intensive,Full,2009
5,Quebec,7,Limited,None,2009
5,Quebec,1,Intensive,None,2010
5,Quebec,1,Limited,Full,2010
5,Quebec,5,Limited,None,2010
5,Quebec,13,Intensive,Full,2010
5,Quebec,4,Limited,None,2011
5,Quebec,7,Intensive,Full,2011
5,Quebec,2,Limited,Full,2012
5,Quebec,7,Limited,None,2012
5,Quebec,8,Intensive,Full,2012
5,Quebec,1,Limited,Full,2013
5,Quebec,2,Intensive,Full,2013
5,Quebec,13,Limited,None,2013
5,Quebec,1,Intensive,Full,2014
5,Quebec,3,Limited,Full,2014
5,Quebec,6,Limited,None,2014
5,Quebec,1,Intensive,Full,2015
5,Quebec,1,Limited,Full,2015
5,Quebec,7,Limited,None,2015
5,Quebec,1,Intensive,Full,2016
5,Quebec,1,Limited,Full,2016
5,Quebec,30,Limited,None,2016
5,Quebec,4,Intensive,Full,2017
5,Quebec,6,Limited,None,2017
8,Quebec,1,Intensive,Full,2010
8,Quebec,5,Limited,None,2013
0,Quebec,6,Unspecified,Modified,2018
0,Quebec,56,Unspecified,Modified,2018
0,Quebec,139,Unspecified,Full,2018
0,Quebec,392,Unspecified,Full,2018
1,Quebec,1,Limited,None,2008
1,Quebec,2,Intensive,None,2008
1,Quebec,5,Limited,Full,2008
1,Quebec,121,Intensive,Full,2008
1,Quebec,1,Limited,None,2009
1,Quebec,5,Limited,Full,2009
1,Quebec,10,Intensive,None,2009
1,Quebec,217,Intensive,Full,2009
1,Quebec,1,Limited,None,2010
1,Quebec,2,Limited,Full,2010
1,Quebec,6,Intensive,None,2010
1,Quebec,357,Intensive,Full,2010
1,Quebec,1,Limited,Full,2011
1,Quebec,1,Limited,None,2011
1,Quebec,6,Intensive,None,2011
1,Quebec,173,Intensive,Full,2011
1,Quebec,3,Limited,None,2012
1,Quebec,4,Limited,Full,2012
1,Quebec,10,Intensive,None,2012
1,Quebec,451,Intensive,Full,2012
1,Quebec,3,Intensive,None,2013
1,Quebec,3,Limited,Full,2013
1,Quebec,6,Limited,None,2013
1,Quebec,246,Intensive,Full,2013
1,Quebec,1,Limited,Full,2014
1,Quebec,4,Intensive,None,2014
1,Quebec,5,Limited,None,2014
1,Quebec,150,Intensive,Full,2014
1,Quebec,1,Limited,Full,2015
1,Quebec,1,Limited,None,2015
1,Quebec,4,Intensive,None,2015
1,Quebec,206,Intensive,Full,2015
1,Quebec,4,Intensive,None,2016
1,Quebec,4,Limited,Full,2016
1,Quebec,7,Limited,None,2016
1,Quebec,322,Intensive,Full,2016
1,Quebec,1,Intensive,None,2017
1,Quebec,3,Limited,Full,2017
1,Quebec,208,Intensive,Full,2017
2,Saskatchewan,21,Intensive,Modified,2008
2,Saskatchewan,141,Intensive,Full,2008
2,Saskatchewan,20,Intensive,Modified,2009
2,Saskatchewan,123,Intensive,Full,2009
2,Saskatchewan,36,Intensive,Modified,2010
2,Saskatchewan,78,Intensive,Full,2010
2,Saskatchewan,10,Intensive,Modified,2011
2,Saskatchewan,62,Intensive,Full,2011
2,Saskatchewan,61,Intensive,Modified,2012
2,Saskatchewan,175,Intensive,Full,2012
2,Saskatchewan,59,Intensive,Modified,2013
2,Saskatchewan,240,Intensive,Full,2013
2,Saskatchewan,20,Intensive,Modified,2014
2,Saskatchewan,76,Intensive,Full,2014
2,Saskatchewan,33,Intensive,Modified,2015
2,Saskatchewan,156,Intensive,Full,2015
2,Saskatchewan,34,Intensive,Modified,2016
2,Saskatchewan,74,Intensive,Full,2016
2,Saskatchewan,39,Intensive,Modified,2017
2,Saskatchewan,43,Intensive,Full,2017
6,Saskatchewan,1,Intensive,Full,2008
6,Saskatchewan,22,Intensive,Modified,2008
6,Saskatchewan,4,Intensive,Modified,2009
6,Saskatchewan,5,Intensive,Full,2009
6,Saskatchewan,3,Intensive,Full,2010
6,Saskatchewan,43,Intensive,Modified,2010
6,Saskatchewan,1,Intensive,Full,2011
6,Saskatchewan,10,Intensive,Modified,2011
6,Saskatchewan,6,Intensive,Full,2012
6,Saskatchewan,24,Intensive,Modified,2012
6,Saskatchewan,1,Intensive,Full,2013
6,Saskatchewan,10,Intensive,Modified,2013
6,Saskatchewan,1,Intensive,Full,2014
6,Saskatchewan,24,Intensive,Modified,2014
6,Saskatchewan,24,Intensive,Full,2015
6,Saskatchewan,35,Intensive,Modified,2015
6,Saskatchewan,4,Intensive,Full,2016
6,Saskatchewan,5,Intensive,Modified,2016
6,Saskatchewan,2,Intensive,Full,2017
6,Saskatchewan,22,Intensive,Modified,2017
3,Saskatchewan,23,Intensive,Modified,2008
3,Saskatchewan,70,Intensive,Full,2008
3,Saskatchewan,15,Intensive,Modified,2009
3,Saskatchewan,79,Intensive,Full,2009
3,Saskatchewan,48,Intensive,Modified,2010
3,Saskatchewan,62,Intensive,Full,2010
3,Saskatchewan,12,Intensive,Modified,2011
3,Saskatchewan,57,Intensive,Full,2011
3,Saskatchewan,28,Intensive,Modified,2012
3,Saskatchewan,44,Intensive,Full,2012
3,Saskatchewan,21,Intensive,Modified,2013
3,Saskatchewan,44,Intensive,Full,2013
3,Saskatchewan,38,Intensive,Modified,2014
3,Saskatchewan,50,Intensive,Full,2014
3,Saskatchewan,24,Intensive,Modified,2015
3,Saskatchewan,92,Intensive,Full,2015
3,Saskatchewan,25,Intensive,Modified,2016
3,Saskatchewan,53,Intensive,Full,2016
3,Saskatchewan,22,Intensive,Modified,2017
3,Saskatchewan,26,Intensive,Full,2017
7,Saskatchewan,14,Intensive,Modified,2010
7,Saskatchewan,2,Intensive,Full,2011
7,Saskatchewan,7,Intensive,Modified,2011
7,Saskatchewan,5,Intensive,Modified,2012
7,Saskatchewan,1,Intensive,Full,2013
7,Saskatchewan,4,Intensive,Modified,2013
7,Saskatchewan,1,Intensive,Full,2014
7,Saskatchewan,10,Intensive,Modified,2014
7,Saskatchewan,8,Intensive,Full,2015
7,Saskatchewan,15,Intensive,Modified,2015
7,Saskatchewan,9,Intensive,Modified,2016
7,Saskatchewan,7,Intensive,Modified,2017
4,Saskatchewan,16,Intensive,Modified,2008
4,Saskatchewan,27,Intensive,Full,2008
4,Saskatchewan,5,Intensive,Modified,2009
4,Saskatchewan,25,Intensive,Full,2009
4,Saskatchewan,23,Intensive,Full,2010
4,Saskatchewan,37,Intensive,Modified,2010
4,Saskatchewan,6,Intensive,Modified,2011
4,Saskatchewan,14,Intensive,Full,2011
4,Saskatchewan,21,Intensive,Modified,2012
4,Saskatchewan,26,Intensive,Full,2012
4,Saskatchewan,15,Intensive,Full,2013
4,Saskatchewan,15,Intensive,Modified,2013
4,Saskatchewan,13,Intensive,Full,2014
4,Saskatchewan,23,Intensive,Modified,2014
4,Saskatchewan,21,Intensive,Modified,2015
4,Saskatchewan,32,Intensive,Full,2015
4,Saskatchewan,14,Intensive,Modified,2016
4,Saskatchewan,23,Intensive,Full,2016
4,Saskatchewan,5,Intensive,Full,2017
4,Saskatchewan,13,Intensive,Modified,2017
5,Saskatchewan,10,Intensive,Full,2008
5,Saskatchewan,17,Intensive,Modified,2008
5,Saskatchewan,9,Intensive,Modified,2009
5,Saskatchewan,17,Intensive,Full,2009
5,Saskatchewan,10,Intensive,Full,2010
5,Saskatchewan,41,Intensive,Modified,2010
5,Saskatchewan,4,Intensive,Full,2011
5,Saskatchewan,6,Intensive,Modified,2011
5,Saskatchewan,4,Intensive,Full,2012
5,Saskatchewan,15,Intensive,Modified,2012
5,Saskatchewan,4,Intensive,Full,2013
5,Saskatchewan,15,Intensive,Modified,2013
5,Saskatchewan,5,Intensive,Full,2014
5,Saskatchewan,27,Intensive,Modified,2014
5,Saskatchewan,26,Intensive,Modified,2015
5,Saskatchewan,37,Intensive,Full,2015
5,Saskatchewan,4,Intensive,Full,2016
5,Saskatchewan,16,Intensive,Modified,2016
5,Saskatchewan,2,Intensive,Full,2017
5,Saskatchewan,30,Intensive,Modified,2017
8,Saskatchewan,8,Intensive,Full,2008
8,Saskatchewan,18,Intensive,Modified,2008
8,Saskatchewan,5,Intensive,Modified,2010
8,Saskatchewan,1,Intensive,Full,2013
8,Saskatchewan,3,Intensive,Full,2015
8,Saskatchewan,3,Intensive,Modified,2015
8,Saskatchewan,1,Intensive,Modified,2017
0,Saskatchewan,13,Unspecified,Modified,2018
0,Saskatchewan,54,Unspecified,Full,2018
0,Saskatchewan,108,Unspecified,Modified,2018
0,Saskatchewan,241,Unspecified,Full,2018
1,Saskatchewan,21,Intensive,Modified,2008
1,Saskatchewan,204,Intensive,Full,2008
1,Saskatchewan,29,Intensive,Modified,2009
1,Saskatchewan,180,Intensive,Full,2009
1,Saskatchewan,17,Intensive,Modified,2010
1,Saskatchewan,154,Intensive,Full,2010
1,Saskatchewan,15,Intensive,Modified,2011
1,Saskatchewan,96,Intensive,Full,2011
1,Saskatchewan,13,Intensive,None,2012
1,Saskatchewan,21,Intensive,Modified,2014
1,Saskatchewan,94,Intensive,Full,2014
1,Saskatchewan,29,Intensive,Modified,2015
1,Saskatchewan,182,Intensive,Full,2015
1,Saskatchewan,30,Intensive,Modified,2016
1,Saskatchewan,73,Intensive,Full,2016
1,Saskatchewan,66,Intensive,Full,2017
1,Saskatchewan,75,Intensive,Modified,2017
2,Yukon,2,Limited,None,2008
2,Yukon,8,Intensive,Full,2008
2,Yukon,7,Limited,None,2009
2,Yukon,11,Intensive,Full,2009
2,Yukon,2,Limited,None,2010
2,Yukon,8,Intensive,Full,2010
2,Yukon,2,Limited,None,2011
2,Yukon,8,Intensive,Full,2011
2,Yukon,2,Limited,None,2012
2,Yukon,21,Intensive,Full,2012
2,Yukon,10,Limited,None,2013
2,Yukon,15,Intensive,Full,2013
2,Yukon,2,Limited,None,2014
2,Yukon,4,Intensive,Full,2014
2,Yukon,7,Limited,None,2015
2,Yukon,18,Intensive,Full,2015
2,Yukon,2,Limited,None,2016
2,Yukon,8,Intensive,Full,2016
2,Yukon,5,Limited,None,2017
2,Yukon,10,Intensive,Full,2017
6,Yukon,5,Limited,None,2008
6,Yukon,3,Intensive,Full,2009
6,Yukon,7,Limited,None,2009
6,Yukon,2,Intensive,Full,2010
6,Yukon,6,Limited,None,2010
6,Yukon,2,Intensive,Full,2011
6,Yukon,6,Limited,None,2011
6,Yukon,17,Limited,None,2012
6,Yukon,1,Intensive,Full,2013
6,Yukon,12,Limited,None,2013
6,Yukon,1,Limited,None,2014
6,Yukon,5,Intensive,Full,2015
6,Yukon,15,Limited,None,2015
6,Yukon,2,Limited,None,2016
6,Yukon,2,Intensive,Full,2017
6,Yukon,23,Limited,None,2017
3,Yukon,4,Intensive,Full,2008
3,Yukon,8,Limited,None,2008
3,Yukon,2,Intensive,Full,2009
3,Yukon,8,Limited,None,2009
3,Yukon,1,Intensive,Full,2010
3,Yukon,7,Limited,None,2010
3,Yukon,1,Intensive,Full,2011
3,Yukon,7,Limited,None,2011
3,Yukon,4,Intensive,Full,2012
3,Yukon,12,Limited,None,2012
3,Yukon,16,Limited,None,2013
3,Yukon,17,Intensive,Full,2013
3,Yukon,1,Intensive,Full,2014
3,Yukon,11,Intensive,Full,2015
3,Yukon,21,Limited,None,2015
3,Yukon,3,Intensive,Full,2016
3,Yukon,6,Limited,None,2016
3,Yukon,6,Intensive,Full,2017
3,Yukon,10,Limited,None,2017
7,Yukon,2,Intensive,Full,2009
7,Yukon,4,Limited,None,2009
7,Yukon,1,Intensive,Full,2010
7,Yukon,1,Intensive,Full,2011
7,Yukon,2,Intensive,Full,2013
7,Yukon,2,Limited,None,2013
7,Yukon,1,Intensive,Full,2015
7,Yukon,1,Limited,None,2015
7,Yukon,1,Limited,None,2016
7,Yukon,1,Intensive,Full,2017
7,Yukon,8,Limited,None,2017
4,Yukon,13,Limited,None,2008
4,Yukon,7,Intensive,Full,2009
4,Yukon,8,Limited,None,2009
4,Yukon,1,Intensive,Full,2010
4,Yukon,4,Limited,None,2010
4,Yukon,1,Intensive,Full,2011
4,Yukon,4,Limited,None,2011
4,Yukon,3,Intensive,Full,2012
4,Yukon,13,Limited,None,2012
4,Yukon,4,Intensive,Full,2013
4,Yukon,30,Limited,None,2013
4,Yukon,2,Intensive,Full,2014
4,Yukon,2,Limited,None,2014
4,Yukon,3,Intensive,Full,2015
4,Yukon,19,Limited,None,2015
4,Yukon,2,Limited,None,2016
4,Yukon,2,Intensive,Full,2017
4,Yukon,8,Limited,None,2017
5,Yukon,1,Intensive,Full,2008
5,Yukon,9,Limited,None,2008
5,Yukon,2,Intensive,Full,2009
5,Yukon,18,Limited,None,2009
5,Yukon,1,Intensive,Full,2010
5,Yukon,6,Limited,None,2010
5,Yukon,1,Intensive,Full,2011
5,Yukon,6,Limited,None,2011
5,Yukon,27,Limited,None,2012
5,Yukon,3,Intensive,Full,2013
5,Yukon,30,Limited,None,2013
5,Yukon,4,Limited,None,2014
5,Yukon,4,Intensive,Full,2015
5,Yukon,24,Limited,None,2015
5,Yukon,1,Intensive,Full,2016
5,Yukon,1,Limited,None,2016
5,Yukon,1,Intensive,Full,2017
5,Yukon,15,Limited,None,2017
0,Yukon,6,Unspecified,Modified,2018
0,Yukon,13,Unspecified,Full,2018
0,Yukon,20,Unspecified,Modified,2018
0,Yukon,28,Unspecified,Full,2018
1,Yukon,3,Limited,None,2008
1,Yukon,23,Intensive,Full,2008
1,Yukon,7,Limited,None,2009
1,Yukon,32,Intensive,Full,2009
1,Yukon,2,Limited,None,2010
1,Yukon,15,Intensive,Full,2010
1,Yukon,2,Limited,None,2011
1,Yukon,15,Intensive,Full,2011
1,Yukon,5,Limited,None,2012
1,Yukon,22,Intensive,Full,2012
1,Yukon,4,Limited,None,2013
1,Yukon,31,Intensive,Full,2013
1,Yukon,18,Intensive,Full,2014
1,Yukon,10,Limited,None,2015
1,Yukon,46,Intensive,Full,2015
1,Yukon,27,Intensive,Full,2016
1,Yukon,2,Limited,None,2017
1,Yukon,22,Intensive,Full,2017
